# x y z neumann_error
2.3102480052185421e-02 2.3456341634617298e-01 4.4096063217417752e-01 4.3728685117372379e-09
3.1566925355153747e-01 3.1090707778999430e-02 3.8650522668136850e-01 4.1905109382511796e-09
3.0353826116690874e-01 9.2077324872921126e-02 3.8650522668136850e-01 2.8052162814873327e-09
2.7974246363185373e-01 1.4952546200953518e-01 3.8650522668136850e-01 4.6257295771567897e-09
2.4519632010080761e-01 2.0122741949596792e-01 3.8650522668136850e-01 3.6850695828150037e-09
2.0122741949596792e-01 2.4519632010080761e-01 3.8650522668136850e-01 1.7680594766034119e-09
1.4952546200953520e-01 2.7974246363185373e-01 3.8650522668136850e-01 1.6484857923160234e-10
9.2077324872921126e-02 3.0353826116690880e-01 3.8650522668136850e-01 1.7789349993080350e-09
3.1090707778999482e-02 3.1566925355153741e-01 3.8650522668136850e-01 3.4517546598777926e-09
3.8464409837227320e-01 3.7884137041736328e-02 3.1719664208182274e-01 3.3725996440026051e-09
3.6986244138272223e-01 1.1219654498436386e-01 3.1719664208182274e-01 3.5892701033546359e-09
3.4086717819208007e-01 1.8219730262378964e-01 3.1719664208182274e-01 3.9726966161168775e-09
2.9877258050403210e-01 2.4519632010080761e-01 3.1719664208182274e-01 1.7356933668111196e-09
2.4519632010080761e-01 2.9877258050403210e-01 3.1719664208182274e-01 7.9178597012230512e-10
1.8219730262378969e-01 3.4086717819208001e-01 3.1719664208182274e-01 2.5813369219918059e-09
1.1219654498436386e-01 3.6986244138272228e-01 3.1719664208182274e-01 2.9440485604936839e-09
3.7884137041736390e-02 3.8464409837227320e-01 3.1719664208182274e-01 1.3061116632684389e-09
4.3883728620345797e-01 4.3221700163628113e-02 2.3569836841299890e-01 2.8939922958048925e-09
4.2197301539744442e-01 1.2800411479260479e-01 2.3569836841299890e-01 3.9772879434352149e-09
3.8889255825490054e-01 2.0786740307563628e-01 2.3569836841299890e-01 2.8908353488787952e-09
3.4086717819208001e-01 2.7974246363185373e-01 2.3569836841299890e-01 2.8240698668469122e-10
2.7974246363185373e-01 3.4086717819208001e-01 2.3569836841299890e-01 3.0542923745713324e-09
2.0786740307563636e-01 3.8889255825490049e-01 2.3569836841299890e-01 4.5090300382355508e-09
1.2800411479260479e-01 4.2197301539744447e-01 2.3569836841299890e-01 3.8409257996363522e-09
4.3221700163628182e-02 4.3883728620345791e-01 2.3569836841299890e-01 6.9817041037367744e-11
4.7616620322862935e-01 4.6898277587240383e-02 1.4514233862723117e-01 1.1239978670030126e-09
4.5786740307563634e-01 1.3889255825490054e-01 1.4514233862723117e-01 3.9936044471389209e-09
4.2197301539744453e-01 2.2554927580066897e-01 1.4514233862723117e-01 1.5036503153709191e-09
3.6986244138272228e-01 3.0353826116690880e-01 1.4514233862723117e-01 1.8307557692054388e-09
3.0353826116690880e-01 3.6986244138272228e-01 1.4514233862723117e-01 3.9871159707161041e-09
2.2554927580066905e-01 4.2197301539744447e-01 1.4514233862723117e-01 4.5190278186169053e-09
1.3889255825490054e-01 4.5786740307563639e-01 1.4514233862723117e-01 3.1033517977618885e-09
4.6898277587240460e-02 4.7616620322862929e-01 1.4514233862723117e-01 8.8879170689892817e-10
4.9519632010080761e-01 4.8772580504032062e-02 4.9008570164780385e-02 2.7077941555653240e-09
4.7616620322862924e-01 1.4444343859530448e-01 4.9008570164780385e-02 2.2481899675241834e-09
4.3883728620345797e-01 2.3456341634617298e-01 4.9008570164780385e-02 1.0598109057013971e-09
3.8464409837227320e-01 3.1566925355153741e-01 4.9008570164780385e-02 2.4906270379432272e-09
3.1566925355153741e-01 3.8464409837227320e-01 4.9008570164780385e-02 1.8082699781984957e-09
2.3456341634617306e-01 4.3883728620345791e-01 4.9008570164780385e-02 5.9655391737578611e-11
1.4444343859530448e-01 4.7616620322862929e-01 4.9008570164780385e-02 2.0096271313718717e-09
4.8772580504032145e-02 4.9519632010080755e-01 4.9008570164780385e-02 3.8464702534213302e-09
4.9008570164780302e-02 2.4076366639015569e-03 9.9879545620517241e-01 1.2798514435752306e-09
4.8536590843283836e-02 7.1997231344832187e-03 9.9879545620517241e-01 7.3146001755564072e-10
4.7597177619167048e-02 1.1922472335510791e-02 9.9879545620517241e-01 2.9987014260601796e-10
4.6199377555313705e-02 1.6530401610461053e-02 9.9879545620517241e-01 2.3908042212639202e-11
4.4356652230453937e-02 2.0979134081465862e-02 9.9879545620517241e-01 2.5134472281251874e-10
4.2086748096802289e-02 2.5225826022904893e-02 9.9879545620517241e-01 3.9563530229713706e-10
3.9411525572021641e-02 2.9229579469904138e-02 9.9879545620517241e-01 4.7116235912803006e-10
3.6356748511451015e-02 3.2951836088094717e-02 9.9879545620517241e-01 4.9310264205182364e-10
3.2951836088094717e-02 3.6356748511451015e-02 9.9879545620517241e-01 4.7710937978173718e-10
2.9229579469904145e-02 3.9411525572021634e-02 9.9879545620517241e-01 4.3901038360161238e-10
2.5225826022904893e-02 4.2086748096802289e-02 9.9879545620517241e-01 3.9449105093680714e-10
2.0979134081465869e-02 4.4356652230453937e-02 9.9879545620517241e-01 3.5873976012013031e-10
1.6530401610461053e-02 4.6199377555313705e-02 9.9879545620517241e-01 3.4606500998179968e-10
1.1922472335510796e-02 4.7597177619167048e-02 9.9879545620517241e-01 3.6949163173538579e-10
7.1997231344832187e-03 4.8536590843283836e-02 9.9879545620517241e-01 4.4035983193246864e-10
2.4076366639015625e-03 4.9008570164780302e-02 9.9879545620517241e-01 5.6794241531932244e-10
1.4655373117284443e-01 7.1997231344832187e-03 9.8917650996478101e-01 4.8872593472193415e-10
1.4514233862723119e-01 2.1529832133895567e-02 9.8917650996478101e-01 2.7372745736720105e-10
1.4233314601776459e-01 3.5652597080455060e-02 9.8917650996478101e-01 2.1722207366181578e-10
1.3815320740493470e-01 4.9432008027437711e-02 9.8917650996478101e-01 2.6156798949017457e-10
1.3264277788256992e-01 6.2735361714831808e-02 9.8917650996478101e-01 3.2692776263942847e-10
1.2585492589927788e-01 7.5434539574274886e-02 9.8917650996478101e-01 3.4089908673706759e-10
1.1785502218027494e-01 8.7407241580903752e-02 9.8917650996478101e-01 2.5612167942057340e-10
1.0872011017156737e-01 9.8538164069449860e-02 9.8917650996478101e-01 5.7715165979743688e-11
9.8538164069449860e-02 1.0872011017156737e-01 9.8917650996478101e-01 2.3667745541189333e-10
8.7407241580903766e-02 1.1785502218027492e-01 9.8917650996478101e-01 5.8158966531607348e-10
7.5434539574274886e-02 1.2585492589927788e-01 9.8917650996478101e-01 9.1105478716713151e-10
6.2735361714831822e-02 1.3264277788256992e-01 9.8917650996478101e-01 1.1470919769607235e-09
4.9432008027437711e-02 1.3815320740493470e-01 9.8917650996478101e-01 1.2083851697042292e-09
3.5652597080455074e-02 1.4233314601776459e-01 9.8917650996478101e-01 1.0185441379206850e-09
2.1529832133895567e-02 1.4514233862723119e-01 9.8917650996478101e-01 5.1364179576296465e-10
7.1997231344832352e-03 1.4655373117284443e-01 9.8917650996478101e-01 3.5095337747037547e-10
2.4268749963529529e-01 1.1922472335510791e-02 9.7003125319454397e-01 2.0489417801305976e-10
2.4035028634732516e-01 3.5652597080455060e-02 9.7003125319454397e-01 1.4198345832383552e-09
2.3569836841299879e-01 5.9039367825822475e-02 9.7003125319454397e-01 1.3827829992152374e-09
2.2877654634502079e-01 8.1857557184825819e-02 9.7003125319454397e-01 7.9665263275074949e-10
2.1965148107375859e-01 1.0388741352024673e-01 9.7003125319454397e-01 1.2059797604990763e-10
2.0841105196604257e-01 1.2491677727283064e-01 9.7003125319454397e-01 3.9354175473960140e-10
1.9516351049882358e-01 1.4474312417382063e-01 9.7003125319454397e-01 6.4707161850918737e-10
1.8003643773827380e-01 1.6317551566437638e-01 9.7003125319454397e-01 6.4255001319679650e-10
1.6317551566437638e-01 1.8003643773827380e-01 9.7003125319454397e-01 4.4347647776277199e-10
1.4474312417382065e-01 1.9516351049882355e-01 9.7003125319454397e-01 1.4779866219782889e-10
1.2491677727283064e-01 2.0841105196604257e-01 9.7003125319454397e-01 1.2975331920017652e-10
1.0388741352024676e-01 2.1965148107375859e-01 9.7003125319454397e-01 2.7621771536701090e-10
8.1857557184825819e-02 2.2877654634502079e-01 9.7003125319454397e-01 2.0624169039251683e-10
5.9039367825822503e-02 2.3569836841299879e-01 9.7003125319454397e-01 1.1063439053771162e-10
3.5652597080455060e-02 2.4035028634732516e-01 9.7003125319454397e-01 6.4055050152944659e-10
1.1922472335510819e-02 2.4268749963529529e-01 9.7003125319454397e-01 1.3136165488703000e-09
3.3648405480977606e-01 1.6530401610461053e-02 9.4154406518302081e-01 1.0151390839041596e-10
3.3324352942106295e-01 4.9432008027437711e-02 9.4154406518302081e-01 4.1434433661891035e-10
3.2679368667458142e-01 8.1857557184825819e-02 9.4154406518302081e-01 8.1326495537936694e-10
3.1719664208182274e-01 1.1349477331863152e-01 9.4154406518302081e-01 9.2180130195629317e-10
3.0454482042849346e-01 1.4403897274282468e-01 9.4154406518302081e-01 7.8690276517079383e-10
2.8896006567330434e-01 1.7319599811979244e-01 9.4154406518302081e-01 4.9178927596926769e-10
2.7059246752404142e-01 2.0068505135630332e-01 9.4154406518302081e-01 1.2576384378348848e-10
2.4961891599163263e-01 2.2624139784264452e-01 9.4154406518302081e-01 2.3757706912874710e-10
2.2624139784264452e-01 2.4961891599163263e-01 9.4154406518302081e-01 5.6531579417651301e-10
2.0068505135630335e-01 2.7059246752404142e-01 9.4154406518302081e-01 8.4570195291178152e-10
1.7319599811979244e-01 2.8896006567330434e-01 9.4154406518302081e-01 1.0227219071623495e-09
1.4403897274282471e-01 3.0454482042849346e-01 9.4154406518302081e-01 9.5803320832033023e-10
1.1349477331863152e-01 3.1719664208182274e-01 9.4154406518302081e-01 5.1098636433266620e-10
8.1857557184825860e-02 3.2679368667458142e-01 9.4154406518302081e-01 2.4559110300970133e-10
4.9432008027437711e-02 3.3324352942106295e-01 9.4154406518302081e-01 7.9859940882442970e-10
1.6530401610461092e-02 3.3648405480977606e-01 9.4154406518302081e-01 2.2429058610384800e-10
4.2704008459554371e-01 2.0979134081465862e-02 9.0398929312344334e-01 5.6537829973279941e-10
4.2292745513703228e-01 6.2735361714831808e-02 9.0398929312344334e-01 4.1904291148142647e-10
4.1474180308988684e-01 1.0388741352024673e-01 9.0398929312344334e-01 6.5260241655096252e-11
4.0256196075805406e-01 1.4403897274282468e-01 9.0398929312344334e-01 3.8928960055528705e-10
3.8650522668136850e-01 1.8280335791817726e-01 9.0398929312344334e-01 6.2908978026854356e-10
3.6672623598649234e-01 2.1980724682629729e-01 9.0398929312344334e-01 7.4952288819929436e-10
3.4341547116611337e-01 2.5469427178861642e-01 9.0398929312344334e-01 7.7697914768748433e-10
3.1679742762841218e-01 2.8712845168355949e-01 9.0398929312344334e-01 6.7071592724232687e-10
2.8712845168355949e-01 3.1679742762841218e-01 9.0398929312344334e-01 5.1594084560235842e-10
2.5469427178861642e-01 3.4341547116611332e-01 9.0398929312344334e-01 5.2848991849430149e-10
2.1980724682629729e-01 3.6672623598649234e-01 9.0398929312344334e-01 8.2308426740951290e-10
1.8280335791817728e-01 3.8650522668136850e-01 9.0398929312344334e-01 1.1790945997347535e-09
1.4403897274282468e-01 4.0256196075805406e-01 9.0398929312344334e-01 1.0768084202084083e-09
1.0388741352024679e-01 4.1474180308988684e-01 9.0398929312344334e-01 1.7437429278288619e-10
6.2735361714831808e-02 4.2292745513703228e-01 9.0398929312344334e-01 8.3556850327681786e-10
2.0979134081465910e-02 4.2704008459554371e-01 9.0398929312344334e-01 4.2230796637454660e-10
5.1348348492279983e-01 2.5225826022904893e-02 8.5772861000027212e-01 5.8861249208064237e-11
5.0853835826436755e-01 7.5434539574274886e-02 8.5772861000027212e-01 1.6644113864927590e-10
4.9869572922050487e-01 1.2491677727283064e-01 8.5772861000027212e-01 8.5310247754932789e-10
4.8405038768943259e-01 1.7319599811979244e-01 8.5772861000027212e-01 8.0537632118904412e-10
4.6474337631605284e-01 2.1980724682629729e-01 8.5772861000027212e-01 3.6605696251967856e-10
4.4096063217417747e-01 2.6430163158700110e-01 8.5772861000027212e-01 2.1032064978498966e-12
4.1293119609086304e-01 3.0625064715355355e-01 8.5772861000027212e-01 3.5911851270498119e-10
3.8092500685804026e-01 3.4525030157438397e-01 8.5772861000027212e-01 8.8093288219681654e-10
3.4525030157438397e-01 3.8092500685804026e-01 8.5772861000027212e-01 1.4242551582555052e-09
3.0625064715355360e-01 4.1293119609086298e-01 8.5772861000027212e-01 1.6433934213466728e-09
2.6430163158700110e-01 4.4096063217417747e-01 8.5772861000027212e-01 1.3345160532196587e-09
2.1980724682629735e-01 4.6474337631605284e-01 8.5772861000027212e-01 6.0589089301288368e-10
1.7319599811979244e-01 4.8405038768943259e-01 8.5772861000027212e-01 5.4922733028206494e-11
1.2491677727283070e-01 4.9869572922050487e-01 8.5772861000027212e-01 9.3991037175555903e-11
7.5434539574274886e-02 5.0853835826436755e-01 8.5772861000027212e-01 1.0626970414762127e-09
2.5225826022904952e-02 5.1348348492279983e-01 8.5772861000027212e-01 2.4693225242344852e-10
5.9498175859162383e-01 2.9229579469904138e-02 8.0320753148064494e-01 4.4698963974632022e-10
5.8925175900627258e-01 8.7407241580903752e-02 8.0320753148064494e-01 3.7250585949166748e-10
5.7784694286391336e-01 1.4474312417382063e-01 8.0320753148064494e-01 3.2524982707116123e-11
5.6087714477850381e-01 2.0068505135630332e-01 8.0320753148064494e-01 5.9752203185325925e-11
5.3850579318224168e-01 2.5469427178861642e-01 8.0320753148064494e-01 1.1789791365401925e-10
5.1094833642042370e-01 3.0625064715355355e-01 8.0320753148064494e-01 2.3616220090616480e-10
4.7847016786610447e-01 3.5485766137276881e-01 8.0320753148064494e-01 6.1206595347584880e-11
4.4138407003683494e-01 4.0004720232803426e-01 8.0320753148064494e-01 3.3428504409016568e-10
4.0004720232803426e-01 4.4138407003683494e-01 8.0320753148064494e-01 4.8039128230925598e-10
3.5485766137276892e-01 4.7847016786610441e-01 8.0320753148064494e-01 3.0925662031222600e-10
3.0625064715355355e-01 5.1094833642042370e-01 8.0320753148064494e-01 2.1092372293196604e-10
2.5469427178861648e-01 5.3850579318224168e-01 8.0320753148064494e-01 1.8855095262892974e-10
2.0068505135630332e-01 5.6087714477850381e-01 8.0320753148064494e-01 1.6260770507869893e-10
1.4474312417382068e-01 5.7784694286391336e-01 8.0320753148064494e-01 5.6578741691737378e-10
8.7407241580903752e-02 5.8925175900627258e-01 8.0320753148064494e-01 1.8825341285833019e-10
2.9229579469904204e-02 5.9498175859162383e-01 8.0320753148064494e-01 8.4514617526565416e-12
6.7075003267509647e-01 3.2951836088094717e-02 7.4095112535495911e-01 2.9552002511756825e-10
6.6429034319116953e-01 9.8538164069449860e-02 7.4095112535495911e-01 6.7170269346661371e-11
6.5143317456427141e-01 1.6317551566437638e-01 7.4095112535495911e-01 3.7091218985096930e-11
6.3230234835672239e-01 2.2624139784264452e-01 7.4095112535495911e-01 1.4542944626327881e-10
6.0708210488287451e-01 2.8712845168355949e-01 7.4095112535495911e-01 5.6039994866807774e-10
5.7601532887416851e-01 3.4525030157438397e-01 7.4095112535495911e-01 7.3096395603045039e-10
5.3940121036639554e-01 4.0004720232803426e-01 7.4095112535495911e-01 3.1331248706578663e-10
4.9759236333609841e-01 4.5099142983521961e-01 7.4095112535495911e-01 1.3422019051745337e-10
4.5099142983521961e-01 4.9759236333609841e-01 7.4095112535495911e-01 9.7945784816033665e-10
4.0004720232803437e-01 5.3940121036639543e-01 7.4095112535495911e-01 2.0179768966954725e-09
3.4525030157438397e-01 5.7601532887416851e-01 7.4095112535495911e-01 1.8219106223682502e-09
2.8712845168355960e-01 6.0708210488287451e-01 7.4095112535495911e-01 7.4859274334926340e-10
2.2624139784264452e-01 6.3230234835672239e-01 7.4095112535495911e-01 3.3462788096016993e-10
1.6317551566437644e-01 6.5143317456427141e-01 7.4095112535495911e-01 5.7464744074309237e-10
9.8538164069449860e-02 6.6429034319116953e-01 7.4095112535495911e-01 4.9111337219187590e-10
3.2951836088094787e-02 6.7075003267509647e-01 7.4095112535495911e-01 1.1818368506055776e-10
7.4005861727464228e-01 3.6356748511451015e-02 6.7155895484701833e-01 1.7239723537620932e-10
7.3293144823309542e-01 1.0872011017156737e-01 6.7155895484701833e-01 3.4720532005039217e-10
7.1874574868397867e-01 1.8003643773827380e-01 6.7155895484701833e-01 3.7576697309305018e-10
6.9763813466864222e-01 2.4961891599163263e-01 6.7155895484701833e-01 1.1964362833793984e-10
6.6981188404864933e-01 3.1679742762841218e-01 6.7155895484701833e-01 3.5895442174194159e-10
6.3553497882884646e-01 3.8092500685804026e-01 6.7155895484701833e-01 6.3969274322062120e-11
5.9513752434416256e-01 4.4138407003683494e-01 6.7155895484701833e-01 1.0419065610278722e-09
5.4900857016478033e-01 4.9759236333609841e-01 6.7155895484701833e-01 8.9010088188956615e-10
4.9759236333609841e-01 5.4900857016478033e-01 6.7155895484701833e-01 7.3955241930434568e-10
4.4138407003683505e-01 5.9513752434416256e-01 6.7155895484701833e-01 1.7003554120265107e-09
3.8092500685804026e-01 6.3553497882884646e-01 6.7155895484701833e-01 4.3384140724356257e-10
3.1679742762841229e-01 6.6981188404864933e-01 6.7155895484701833e-01 1.1311884762221780e-09
2.4961891599163263e-01 6.9763813466864222e-01 6.7155895484701833e-01 8.8233731432296736e-10
1.8003643773827385e-01 7.1874574868397867e-01 6.7155895484701833e-01 5.1550763657814969e-10
1.0872011017156737e-01 7.3293144823309542e-01 6.7155895484701833e-01 8.2311046867289406e-10
3.6356748511451098e-02 7.4005861727464228e-01 6.7155895484701833e-01 6.1440275089807983e-10
8.0224003283264100e-01 3.9411525572021634e-02 5.9569930449243347e-01 1.1563787427615324e-09
7.9451402276745120e-01 1.1785502218027492e-01 5.9569930449243347e-01 3.3716912595238568e-10
7.7913640833746600e-01 1.9516351049882355e-01 5.9569930449243347e-01 1.6218648646315614e-10
7.5625528437590550e-01 2.7059246752404142e-01 5.9569930449243347e-01 9.8996366659775958e-12
7.2609100861461395e-01 3.4341547116611332e-01 5.9569930449243347e-01 5.7527804742107946e-10
6.8893407951864327e-01 4.1293119609086298e-01 5.9569930449243347e-01 2.8492719295059032e-10
6.4514233862723114e-01 4.7847016786610441e-01 5.9569930449243347e-01 1.4259531333493669e-09
5.9513752434416256e-01 5.3940121036639543e-01 5.9569930449243347e-01 6.7623240340708435e-10
5.3940121036639543e-01 5.9513752434416256e-01 5.9569930449243347e-01 9.4873620071211917e-10
4.7847016786610447e-01 6.4514233862723103e-01 5.9569930449243347e-01 4.7399373315215598e-10
4.1293119609086298e-01 6.8893407951864327e-01 5.9569930449243347e-01 2.0440404924215727e-09
3.4341547116611343e-01 7.2609100861461395e-01 5.9569930449243347e-01 2.5486768251425929e-09
2.7059246752404142e-01 7.5625528437590550e-01 5.9569930449243347e-01 1.3726619840781495e-10
1.9516351049882366e-01 7.7913640833746600e-01 5.9569930449243347e-01 3.0675417761472090e-10
1.1785502218027492e-01 7.9451402276745120e-01 5.9569930449243347e-01 7.4824813012241975e-10
3.9411525572021724e-02 8.0224003283264100e-01 5.9569930449243347e-01 1.1295755442120026e-09
8.5669543832545014e-01 4.2086748096802289e-02 5.1410274419322166e-01 1.4948223214794609e-10
8.4844499293701192e-01 1.2585492589927788e-01 5.1410274419322166e-01 5.4305682173350078e-10
8.3202355845937825e-01 2.0841105196604257e-01 5.1410274419322166e-01 1.8447143812494460e-10
8.0758928228343807e-01 2.8896006567330434e-01 5.1410274419322166e-01 3.2093883106654175e-11
7.7537747984589955e-01 3.6672623598649234e-01 5.1410274419322166e-01 6.5248006997364882e-10
7.3569836841299896e-01 4.4096063217417747e-01 5.1410274419322166e-01 1.9209034363143473e-10
6.8893407951864338e-01 5.1094833642042370e-01 5.1410274419322166e-01 3.9221959013957530e-12
6.3553497882884646e-01 5.7601532887416851e-01 5.1410274419322166e-01 8.9969365291153736e-10
5.7601532887416851e-01 6.3553497882884646e-01 5.1410274419322166e-01 1.2377974201172037e-09
5.1094833642042381e-01 6.8893407951864327e-01 5.1410274419322166e-01 5.2065862732320056e-10
4.4096063217417747e-01 7.3569836841299896e-01 5.1410274419322166e-01 2.3802835258379673e-09
3.6672623598649240e-01 7.7537747984589955e-01 5.1410274419322166e-01 5.0034065779414050e-10
2.8896006567330434e-01 8.0758928228343807e-01 5.1410274419322166e-01 2.9595841333218686e-09
2.0841105196604268e-01 8.3202355845937825e-01 5.1410274419322166e-01 1.6074550579503466e-09
1.2585492589927788e-01 8.4844499293701192e-01 5.1410274419322166e-01 1.0853407061972575e-09
4.2086748096802386e-02 8.5669543832545014e-01 5.1410274419322166e-01 2.4251569641364767e-09
9.0290039842982095e-01 4.4356652230453937e-02 4.2755509343028220e-01 4.9097645393736400e-10
8.9420497401737709e-01 1.3264277788256992e-01 4.2755509343028220e-01 2.2583934722320009e-11
8.7689786688298366e-01 2.1965148107375859e-01 4.2755509343028220e-01 1.0627001501006816e-09
8.5114575392937220e-01 3.0454482042849346e-01 4.2755509343028220e-01 1.2418888140075524e-10
8.1719664208182274e-01 3.8650522668136850e-01 4.2755509343028220e-01 8.4326701177417362e-10
7.7537747984589955e-01 4.6474337631605284e-01 4.2755509343028220e-01 1.2757483958125704e-10
7.2609100861461406e-01 5.3850579318224168e-01 4.2755509343028220e-01 1.5915064821570013e-09
6.6981188404864933e-01 6.0708210488287451e-01 4.2755509343028220e-01 1.1792189447135115e-09
6.0708210488287451e-01 6.6981188404864933e-01 4.2755509343028220e-01 5.6345772492250035e-10
5.3850579318224179e-01 7.2609100861461395e-01 4.2755509343028220e-01 1.4031695805272193e-09
4.6474337631605284e-01 7.7537747984589955e-01 4.2755509343028220e-01 4.6110493201467762e-10
3.8650522668136855e-01 8.1719664208182274e-01 4.2755509343028220e-01 1.7278738440040797e-09
3.0454482042849346e-01 8.5114575392937220e-01 4.2755509343028220e-01 2.4826336542105309e-09
2.1965148107375870e-01 8.7689786688298366e-01 4.2755509343028220e-01 6.8808647668561207e-10
1.3264277788256992e-01 8.9420497401737709e-01 4.2755509343028220e-01 4.0865613115670385e-09
4.4356652230454041e-02 9.0290039842982095e-01 4.2755509343028220e-01 1.5819439092012999e-09
9.4040993412174789e-01 4.6199377555313705e-02 3.3688985339222005e-01 2.0067768280451759e-10
9.3135327237579280e-01 1.3815320740493470e-01 3.3688985339222005e-01 1.2259502302214287e-09
9.1332716948737103e-01 2.2877654634502079e-01 3.3688985339222005e-01 1.7009320618655011e-09
8.8650522668136855e-01 3.1719664208182274e-01 3.3688985339222005e-01 1.6492918142319013e-10
8.5114575392937220e-01 4.0256196075805406e-01 3.3688985339222005e-01 2.0397166178298676e-09
8.0758928228343807e-01 4.8405038768943259e-01 3.3688985339222005e-01 3.8423797477094013e-10
7.5625528437590561e-01 5.6087714477850381e-01 3.3688985339222005e-01 1.6813657133241122e-09
6.9763813466864222e-01 6.3230234835672239e-01 3.3688985339222005e-01 6.8409278242143046e-11
6.3230234835672239e-01 6.9763813466864222e-01 3.3688985339222005e-01 2.1098269797903413e-09
5.6087714477850392e-01 7.5625528437590550e-01 3.3688985339222005e-01 5.4217830225411490e-10
4.8405038768943259e-01 8.0758928228343807e-01 3.3688985339222005e-01 2.0062409511467649e-09
4.0256196075805417e-01 8.5114575392937220e-01 3.3688985339222005e-01 9.3496943520676723e-10
3.1719664208182274e-01 8.8650522668136855e-01 3.3688985339222005e-01 1.1197038851662455e-09
2.2877654634502090e-01 9.1332716948737103e-01 3.3688985339222005e-01 1.2091407874947890e-09
1.3815320740493470e-01 9.3135327237579280e-01 3.3688985339222005e-01 4.2318677451191888e-09
4.6199377555313809e-02 9.4040993412174789e-01 3.3688985339222005e-01 2.5172313122823198e-09
9.6886280806771963e-01 4.7597177619167048e-02 2.4298017990326398e-01 9.4407193174106396e-10
9.5953212959174183e-01 1.4233314601776459e-01 2.4298017990326398e-01 2.0853129778508617e-09
9.4096063217417747e-01 2.3569836841299879e-01 2.4298017990326398e-01 7.1515515731590540e-10
9.1332716948737103e-01 3.2679368667458142e-01 2.4298017990326398e-01 1.3943255439130553e-09
8.7689786688298366e-01 4.1474180308988684e-01 2.4298017990326398e-01 7.5899508900079127e-10
8.3202355845937825e-01 4.9869572922050487e-01 2.4298017990326398e-01 5.8283733395114723e-10
7.7913640833746611e-01 5.7784694286391336e-01 2.4298017990326398e-01 7.4215655843090644e-10
7.1874574868397867e-01 6.5143317456427141e-01 2.4298017990326398e-01 9.0781160366759650e-11
6.5143317456427141e-01 7.1874574868397867e-01 2.4298017990326398e-01 1.1286944712196600e-09
5.7784694286391347e-01 7.7913640833746600e-01 2.4298017990326398e-01 6.5571281737675235e-10
4.9869572922050487e-01 8.3202355845937825e-01 2.4298017990326398e-01 1.7123769069371519e-09
4.1474180308988695e-01 8.7689786688298366e-01 2.4298017990326398e-01 1.2301031304673415e-09
3.2679368667458142e-01 9.1332716948737103e-01 2.4298017990326398e-01 1.0102079173179845e-09
2.3569836841299890e-01 9.4096063217417747e-01 2.4298017990326398e-01 4.0884446939060126e-09
1.4233314601776459e-01 9.5953212959174183e-01 2.4298017990326398e-01 8.7573370777249693e-10
4.7597177619167159e-02 9.6886280806771963e-01 2.4298017990326398e-01 1.1145320222283317e-09
9.8798500353771368e-01 4.8536590843283836e-02 1.4673047445536175e-01 8.7579331287113149e-10
9.7847016786610452e-01 1.4514233862723119e-01 1.4673047445536175e-01 7.4160283469737465e-10
9.5953212959174183e-01 2.4035028634732516e-01 1.4673047445536175e-01 4.7120263246824834e-10
